x,y,z
0.000000,0.013015,0.024502
0.000000,0.013244,0.024650
0.000000,0.013475,0.024796
0.000000,0.013707,0.024940
0.000000,0.013940,0.025081
0.000000,0.014175,0.025220
0.000000,0.014410,0.025357
0.000000,0.014648,0.025492
0.000000,0.014886,0.025624
0.000000,0.015126,0.025755
0.000000,0.015367,0.025882
0.000000,0.015609,0.026008
0.000000,0.015853,0.026131
0.000000,0.016098,0.026251
0.000000,0.016343,0.026370
0.000000,0.016590,0.026485
0.000000,0.016839,0.026599
0.000000,0.017088,0.026710
0.000000,0.017338,0.026819
0.000000,0.017589,0.026925
0.000000,0.017842,0.027028
0.000000,0.018095,0.027130
0.000000,0.018349,0.027229
0.000000,0.018604,0.027325
0.000000,0.018861,0.027419
0.000000,0.019118,0.027510
0.000000,0.019376,0.027599
0.000000,0.019634,0.027685
0.000000,0.019894,0.027769
0.000000,0.020155,0.027850
0.000000,0.020416,0.027929
0.000000,0.020678,0.028005
0.000000,0.020940,0.028079
0.000000,0.021204,0.028150
0.000000,0.021468,0.028218
0.000000,0.021733,0.028284
0.000000,0.021998,0.028347
0.000000,0.022264,0.028408
0.000000,0.022531,0.028466
0.000000,0.022798,0.028522
0.000000,0.023065,0.028575
0.000000,0.023333,0.028625
0.000000,0.023602,0.028673
0.000000,0.023871,0.028718
0.000000,0.024141,0.028760
0.000000,0.024410,0.028800
0.000000,0.024681,0.028837
0.000000,0.024951,0.028872
0.000000,0.025222,0.028903
0.000000,0.025494,0.028933
0.000000,0.025765,0.028959
0.000000,0.026037,0.028983
0.000000,0.026309,0.029004
0.000000,0.026581,0.029023
0.000000,0.026853,0.029039
0.000000,0.027126,0.029052
0.000000,0.027398,0.029063
0.000000,0.027671,0.029071
0.000000,0.027944,0.029076
0.000000,0.028217,0.029079
0.000000,0.028489,0.029079
0.000000,0.028762,0.029076
0.000000,0.029035,0.029071
0.000000,0.029308,0.029063
0.000000,0.029580,0.029053
0.000000,0.029853,0.029039
0.000000,0.030125,0.029023
0.000000,0.030397,0.029005
0.000000,0.030669,0.028984
0.000000,0.030941,0.028960
0.000000,0.031213,0.028933
0.000000,0.031484,0.028904
0.000000,0.031755,0.028872
0.000000,0.032025,0.028837
0.000000,0.032296,0.028800
0.000000,0.032566,0.028761
0.000000,0.032835,0.028718
0.000000,0.033104,0.028673
0.000000,0.033373,0.028626
0.000000,0.033641,0.028575
0.000000,0.033909,0.028522
0.000000,0.034176,0.028467
0.000000,0.034442,0.028409
0.000000,0.034708,0.028348
0.000000,0.034974,0.028285
0.000000,0.035238,0.028219
0.000000,0.035502,0.028151
0.000000,0.035766,0.028080
0.000000,0.036029,0.028006
0.000000,0.036291,0.027930
0.000000,0.036552,0.027851
0.000000,0.036812,0.027770
0.000000,0.037072,0.027686
0.000000,0.037331,0.027600
